"cruise","station","cast","datetime_utc","day_night","sample_split_factor","volume_ml","zoo_aliquot","haul_factor","taxa_code","taxa_name","conc_100m3","zooplankton_count","totcnt","primary_flag","secondary_flag"
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,3600,"Ostracoda",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,611,"Penilia avirostris",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,2500,"Polychaeta",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,218,"Sagitta",14976.9176469769,91,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,1800,"Siphonophora",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,3400,"Thaliacea",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,5100,"Phoronida",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,3300,"Heteropoda",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,148,"Acartia danae",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,4061,"Aetideidae",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,142,"Calanoida",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,4129,"Calocalanus",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,133,"Centropages",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,4045,"Corycaeidae",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,130,"Cyclopoida",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,4007,"Lucicutia",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,4108,"Neocalanus",0,0,547,1,NA
